Most popular Questions and Problems,,
Category - Power,Questions,Possible Solutions
Airbags on one side of chair do not work,Ask if the customer hear's any hissing sounds. Ask if any other airbags are not working.,"If hissing is heard, send airbag where the sound is coming from. Send tech to check for kinked hoses or faulty valves."
Airbags do not deflate,Ask if airbags eventually deflate when chair turns off. Ask which/how many airbags do not deflate.,"If airbags do not deflate eventually, replace Main PCB. If airbags do eventually deflate or if only one airbag is affected, possible bad airbag or valve."
Armrest airbags not inflating,First see if the customer or WG assembled if customer assembled have them check the airline connections to the chair from the armrest,If armrest connections are secure or WG assembled dispatch a tech to check lines for kinks or loose connections
The air compressor is too loud,Are you using the chair on carpet/rug? Did you move the chair to a new surface/location? Can you take a video of the sound?,"Compare sound of chair to showroom model, advise to place rug underneath chair"
Specific airbag doesn't work on only manual mode,Is your software up todate? Does it work on automodes?,Change settings via engineering mode
Airbags are too intense,Can you verify what program this is happening? Have you tried adjusting the settings?,
airbag deflating slowly,do you hear hissing noises? does this happen in all modes?,usually this is due to a kinked hose that can happen after manufacturing or wg delivery
Air bags are too intense,"After adjusting the intesity, does it still hurt? Is it like this on every mode?",Inform the customer the chair is working as intended and they can use a bleeder valve to lower the pressure (not covered by the warranty).
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Category - Heat,,
Heat on chair not working,Ask if turning on heat without sitting in the chair for a few minutes and feeling the area where heat should be generated. Ask if backpad wire is securely connected.,"If heat is felt, explain chairs do not heat up to the level of a carseat and is much more subtle. If no heat is detected and the wire is firmly connected, replace backpad."
Heat is not working on newly delivered chair,Ask customer if they can disconnect and reconnect the power cord to the backpad and check the connection to the footrest for calf heat  ,If the heat is properly connected have it verified by tech and replace back pad if no heat is detected by the tech
Calf heating not working.,Are you able to feel anyhting after 5 minutes? Are you able to control the intensity? Are you able to turn it on manual?,"Check connections and advise the heating is mild. Ultimately, replace footrest."
Massage chair does not heat up enough,"What temperature is expected for the chair, and can you provide a temperature reading of the failing heated section?",
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Category - Misc.,,
Voice control picks up ghosts/random voices.,Is the chair located in an area where a lot of people might be close by? Is the chair near by TV? Do you turn off/unplug the chair from the wall after usage?,Go on settings turn off the voice control feature if they do not like it. Unplug the chair from the wall after being used. When the chair picks up random voices is just working as intended.
Voice control does not work.,What exact commands are you using? Are you using commands from the list or making it by your own? How loud are you speaking to the mic?,Make sure they are using the right commands and speak clearly to it and also help them locate the mic.
Voice control dead.,What exact commands are you using? Are you using commands from the list or making it by your own? How loud are you speaking to the mic?,Check side panel connection sometimes specific cable WG does not connect. Repalce VC PCB.
Chair does not remember my height.,Are you able to adjust the shoulder and footrest manually?,Explain that any of our chairs remember the customer height so the chair will always back scan and adjust the footrest before every massage.
Bluetooth not connecting,Have customer test the phone they are connecting to make sure it connects with other devices and also try another phone,If chair is not showing up on customers bluetooth and no issues are presnet with the phone send replacement blue tooth PCB 
Speakers sound disruptive.,Have you used any other apps such YouTube and Spotify? Have you tried playing music/videos from another device?,Replace speakers.
The chair does not return to start position,What mode are you experiencing this in? Does the chair return to the starting position when you power it off/restart?,"Check if the chair has a setting for this and toggle it, no issue found it's normal for some chairs"
Back pad has no zipper head.,Have you used a paper clip to insert the hole?,Instruct the customer our zippers may not have a tab but you can use a paperclip in order to remove any backpads. Make a video.
Damage to newly delivered chair,Get pictures showing the damage to the chair and verify if it can be repaired.,If damage looks to be repairable send the customer the parts for repair and a tech ASAP if damage looks extensive reach out to replace the chair
Cannot update software ,Are you connected to wifi? What happens when you try to update the software?,Check if firewall settings are active?
Grand Duo does not play preloaded sounds,Is your bluetooth connected to your phone/tablet? ,Verify bluetooth is selected correctly via settings
Flashing lights on all buttons of the side panel of the Horizon,Are you having any issues with your remote?,"If yes, change Main PCB. If no, wiring harness of side panel buttons may be loose or faulty."
The 3d intensity knob does not work,Can you verify what programs you are attempting to use? Ask them to put chair in manual and feel if the rollers shift at all during the massage when turning the dial. Ensure the dial is getting power.,"If rollers do not shift but the dial is getting power, replace mech."
Master/X-Rest shoulder massagers won't fully go down to the shoulders,Ask if both mechanisms are having difficulty moving down and see if they move at all.,"If one shoulder mech is just not moving, replacing shoulder mech. If both shoulders mechs go down but stop early, replace Main PCB."
Unable to get verification code for the account verification,Did you check your spam folder? The codes usually arrive there. Is the chair connected to internet?,
