Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Airbag (product.metafields.custom.airbag),Automatic Extendable Footrest (product.metafields.custom.automatic_extendable_footrest),Auto Program (product.metafields.custom.auto_program),Bluetooth Speaker (product.metafields.custom.bluetooth_speaker),Calf Roller (product.metafields.custom.calf_roller),Foot Roller (product.metafields.custom.foot_roller),Heating (product.metafields.custom.heating),id (product.metafields.custom.id),Massage Mechanism (product.metafields.custom.massage_mechanism),Number of Massage Styles (product.metafields.custom.number_of_massage_styles),Side Controller (product.metafields.custom.side_controller),Space Saving Technology (product.metafields.custom.space_saving_technology),Track Type (product.metafields.custom.track_type),Zero Gravity (product.metafields.custom.zero_gravity),LDT: Compare Attribute Set Code (product.metafields.ldt.compare_attribute_set),LDT: Compare Products (product.metafields.ldt.compare_products),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Massage technique (product.metafields.shopify.massage-technique),Power source (product.metafields.shopify.power-source),Reclining function (product.metafields.shopify.reclining-function),Upholstery material (product.metafields.shopify.upholstery-material),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
ador-3d-allure,,,,,,,,Color,Taupe,,Delivery,Curbside Delivery - Free,,Warranty,1 Year Extended(Parts/Labor) - $249.95,,ador-3d-allure-13,,,,,5248.95,,true,true,,,,,00812512038651,,,,,,,,,,,,,,,,,,32,Manual,21,YES,-,3 spinning reflexology massage rollers,Lumbar,allure,3D,6,YES,YES,SL,3 Stages of Zero Gravity,,,false,4,,,,,,,lb,,,
ador-3d-allure,,,,,,,,Color,Taupe,,Delivery,Curbside Delivery - Free,,Warranty,2 Year Extended(Parts/Labor) - $349.95,,ador-3d-allure-14,,,,,5348.95,,true,true,,,,,00812512038651,,,,,,,,,,,,,,,,,,32,Manual,21,YES,-,3 spinning reflexology massage rollers,Lumbar,allure,3D,6,YES,YES,SL,3 Stages of Zero Gravity,,,false,4,,,,,,,lb,,,
ador-3d-allure,,,,,,,,Color,Taupe,,Delivery,White Glove Delivery (Installation)- $275,,Warranty,1 Year(Parts/Labor) 2&3 Year(Parts Only) - Free,,ador-3d-allure-15,,,,,5274.00,,true,true,,,,,00812512038651,,,,,,,,,,,,,,,,,,32,Manual,21,YES,-,3 spinning reflexology massage rollers,Lumbar,allure,3D,6,YES,YES,SL,3 Stages of Zero Gravity,,,false,4,,,,,,,lb,,,
ador-3d-allure,,,,,,,,Color,Taupe,,Delivery,White Glove Delivery (Installation)- $275,,Warranty,1 Year Extended(Parts/Labor) - $249.95,,ador-3d-allure-16,,,,,5523.95,,true,true,,,,,00812512038651,,,,,,,,,,,,,,,,,,32,Manual,21,YES,-,3 spinning reflexology massage rollers,Lumbar,allure,3D,6,YES,YES,SL,3 Stages of Zero Gravity,,,false,4,,,,,,,lb,,,
ador-3d-allure,,,,,,,,Color,Taupe,,Delivery,White Glove Delivery (Installation)- $275,,Warranty,2 Year Extended(Parts/Labor) - $349.95,,ador-3d-allure-17,,,,,5623.95,,true,true,,,,,00812512038651,,,,,,,,,,,,,,,,,,32,Manual,21,YES,-,3 spinning reflexology massage rollers,Lumbar,allure,3D,6,YES,YES,SL,3 Stages of Zero Gravity,,,false,4,,,,,,,lb,,,
titan-3d-prestige,Titan 3D Prestige,"<ul>
     <li>
      <strong>
       3D Massage Mechanism
      </strong>
     </li>
     <li>
      Computer Body Scan System
     </li>
     <li>
      <strong>
       SL-Track
      </strong>
     </li>
     <li>
      Full Body Compression Massage
     </li>
     <li>
      6 Auto Programs &amp; 6 Massage Styles
     </li>
     <li>
      Lumbar Heat Therapy
     </li>
     <li>
      <strong>
       Zero Gravity Reclining
      </strong>
     </li>
     <li>
      Space Saving Technology
     </li>
     <li>
      Extendable Footrest
     </li>
     <li>
      Surround Sound Bluetooth Speakers
     </li>
    </ul>

<!-- more -->
<script>
  const externalURL =
    ""https://ota-shawn.github.io/Products/Titan/Titan%20Pro-Prestige%203D.html"";
</script>
<link rel=""stylesheet"" href=""https://ota-shawn.github.io/productGlobalCss/style.css"">
<div id=""externalURL""></div>
<script src=""https://code.jquery.com/jquery-3.7.0.min.js"" integrity=""sha256-2Pmvv0kuTBOenSvLm6bvfBSSHrUJ+3A7x6P5Ebd07/g="" crossorigin=""anonymous""></script>
<script>
  $(""#externalURL"").load(externalURL, () => {
    $(""#externalURL"").contents().unwrap();
  });
</script>",Titan,Health & Beauty > Personal Care > Massage & Relaxation > Massage Chairs,Massage Chair,"3D, Big & Tall, Massage Chair, Titan",true,Color,Black,,Delivery,Curbside Delivery - Free,,Warranty,1 Year(Parts/Labor) 2&3 Year(Parts Only) - Free,,titan-3d-prestige-0,,,,,4999.00,4999.00,true,true,,,,,00812512037692,,,,false,,,,,,,,,,,,,,48,Manual,6,YES,-,1 spinning reflexology massage roller,lumbar,prestige,3D,6,-,YES,SL,1 Stage of Zero Gravity,,,true,,,,,,,,lb,,,active
titan-3d-prestige,,,,,,,,Color,Black,,Delivery,Curbside Delivery - Free,,Warranty,1 Year Extended(Parts/Labor) - $249.95,,titan-3d-prestige-1,,,,,5248.95,5248.95,true,true,,,,,00812512037692,,,,,,,,,,,,,,,,,,48,Manual,6,YES,-,1 spinning reflexology massage roller,lumbar,prestige,3D,6,-,YES,SL,1 Stage of Zero Gravity,,,true,,,,,,,,lb,,,
titan-3d-prestige,,,,,,,,Color,Black,,Delivery,Curbside Delivery - Free,,Warranty,2 Year Extended(Parts/Labor) - $349.95,,titan-3d-prestige-2,,,,,5348.95,5348.95,true,true,,,,,00812512037692,,,,,,,,,,,,,,,,,,48,Manual,6,YES,-,1 spinning reflexology massage roller,lumbar,prestige,3D,6,-,YES,SL,1 Stage of Zero Gravity,,,true,,,,,,,,lb,,,
titan-3d-prestige,,,,,,,,Color,Black,,Delivery,White Glove Delivery - $275,,Warranty,1 Year(Parts/Labor) 2&3 Year(Parts Only) - Free,,titan-3d-prestige-3,,,,,5274.00,5274.00,true,true,,,,,00812512037692,,,,,,,,,,,,,,,,,,48,Manual,6,YES,-,1 spinning reflexology massage roller,lumbar,prestige,3D,6,-,YES,SL,1 Stage of Zero Gravity,,,true,,,,,,,,lb,,,
titan-3d-prestige,,,,,,,,Color,Black,,Delivery,White Glove Delivery - $275,,Warranty,1 Year Extended(Parts/Labor) - $249.95,,titan-3d-prestige-4,,,,,5523.95,5523.95,true,true,,,,,00812512037692,,,,,,,,,,,,,,,,,,48,Manual,6,YES,-,1 spinning reflexology massage roller,lumbar,prestige,3D,6,-,YES,SL,1 Stage of Zero Gravity,,,true,,,,,,,,lb,,,
titan-3d-prestige,,,,,,,,Color,Black,,Delivery,White Glove Delivery - $275,,Warranty,2 Year Extended(Parts/Labor) - $349.95,,titan-3d-prestige-5,,,,,5623.95,5623.95,true,true,,,,,00812512037692,,,,,,,,,,,,,,,,,,48,Manual,6,YES,-,1 spinning reflexology massage roller,lumbar,prestige,3D,6,-,YES,SL,1 Stage of Zero Gravity,,,true,,,,,,,,lb,,,
titan-3d-prestige,,,,,,,,Color,Brown,,Delivery,Curbside Delivery - Free,,Warranty,1 Year(Parts/Labor) 2&3 Year(Parts Only) - Free,,titan-3d-prestige-6,,,,,4999.00,4999.00,true,true,,,,,00812512037708,,,,,,,,,,,,,,,,,,48,Manual,6,YES,-,1 spinning reflexology massage roller,lumbar,prestige,3D,6,-,YES,SL,1 Stage of Zero Gravity,,,true,,,,,,,,lb,,,
