Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Airbag (product.metafields.custom.airbag),Automatic Extendable Footrest (product.metafields.custom.automatic_extendable_footrest),Auto Program (product.metafields.custom.auto_program),Bluetooth Speaker (product.metafields.custom.bluetooth_speaker),Calf Roller (product.metafields.custom.calf_roller),Foot Roller (product.metafields.custom.foot_roller),Heating (product.metafields.custom.heating),id (product.metafields.custom.id),Massage Mechanism (product.metafields.custom.massage_mechanism),Number of Massage Styles (product.metafields.custom.number_of_massage_styles),Side Controller (product.metafields.custom.side_controller),Space Saving Technology (product.metafields.custom.space_saving_technology),Track Type (product.metafields.custom.track_type),Zero Gravity (product.metafields.custom.zero_gravity),LDT: Compare Attribute Set Code (product.metafields.ldt.compare_attribute_set),LDT: Compare Products (product.metafields.ldt.compare_products),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Massage technique (product.metafields.shopify.massage-technique),Power source (product.metafields.shopify.power-source),Reclining function (product.metafields.shopify.reclining-function),Upholstery material (product.metafields.shopify.upholstery-material),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
osaki-os-pro-3d-tecno,,,,,,,,Color,Black,,Delivery,White Glove Delivery - $275,,Warranty,2 Year Extended (Parts/Labor) - $349.95,,osaki-os-pro-3d-tecno-5,,,,,2323.95,5123.95,true,true,,,,,00810081881630,,,,,,,,,,,,,,,,,,36,Auto,9,-,-,2 spinning reflexology massage rollers,"Lumbar, Calf",tecno,3D,5,YES,YES,SL,1 Stages of Zero Gravity,,,,5,,,,,,,lb,,,
osaki-os-pro-3d-tecno,,,,,,,,Color,Brown,,Delivery,Curbside Delivery - Free,,Warranty,1 Year (Parts/Labor) 2&3 Year (Parts Only) - Free,,osaki-os-pro-3d-tecno-6,,,,,1699.00,4499.00,true,true,,,,,00810081881647,,,,,,,,,,,,,,,,,,36,Auto,9,-,-,2 spinning reflexology massage rollers,"Lumbar, Calf",tecno,3D,5,YES,YES,SL,1 Stages of Zero Gravity,,,,5,,,,,,,lb,,,
osaki-os-pro-3d-tecno,,,,,,,,Color,Brown,,Delivery,Curbside Delivery - Free,,Warranty,1 Year Extended (Parts/Labor) - $249.95,,osaki-os-pro-3d-tecno-7,,,,,1948.95,4748.95,true,true,,,,,00810081881647,,,,,,,,,,,,,,,,,,36,Auto,9,-,-,2 spinning reflexology massage rollers,"Lumbar, Calf",tecno,3D,5,YES,YES,SL,1 Stages of Zero Gravity,,,,5,,,,,,,lb,,,
osaki-os-pro-3d-tecno,,,,,,,,Color,Brown,,Delivery,Curbside Delivery - Free,,Warranty,2 Year Extended (Parts/Labor) - $349.95,,osaki-os-pro-3d-tecno-8,,,,,2048.95,4848.95,true,true,,,,,00810081881647,,,,,,,,,,,,,,,,,,36,Auto,9,-,-,2 spinning reflexology massage rollers,"Lumbar, Calf",tecno,3D,5,YES,YES,SL,1 Stages of Zero Gravity,,,,5,,,,,,,lb,,,
osaki-os-pro-3d-tecno,,,,,,,,Color,Brown,,Delivery,White Glove Delivery - $275,,Warranty,1 Year (Parts/Labor) 2&3 Year (Parts Only) - Free,,osaki-os-pro-3d-tecno-9,,,,,1974.00,4774.00,true,true,,,,,00810081881647,,,,,,,,,,,,,,,,,,36,Auto,9,-,-,2 spinning reflexology massage rollers,"Lumbar, Calf",tecno,3D,5,YES,YES,SL,1 Stages of Zero Gravity,,,,5,,,,,,,lb,,,
osaki-os-pro-3d-tecno,,,,,,,,Color,Brown,,Delivery,White Glove Delivery - $275,,Warranty,1 Year Extended (Parts/Labor) - $249.95,,osaki-os-pro-3d-tecno-10,,,,,2223.95,5023.95,true,true,,,,,00810081881647,,,,,,,,,,,,,,,,,,36,Auto,9,-,-,2 spinning reflexology massage rollers,"Lumbar, Calf",tecno,3D,5,YES,YES,SL,1 Stages of Zero Gravity,,,,5,,,,,,,lb,,,
osaki-os-pro-3d-tecno,,,,,,,,Color,Brown,,Delivery,White Glove Delivery - $275,,Warranty,2 Year Extended (Parts/Labor) - $349.95,,osaki-os-pro-3d-tecno-11,,,,,2323.95,5123.95,true,true,,,,,00810081881647,,,,,,,,,,,,,,,,,,36,Auto,9,-,-,2 spinning reflexology massage rollers,"Lumbar, Calf",tecno,3D,5,YES,YES,SL,1 Stages of Zero Gravity,,,,5,,,,,,,lb,,,
amamedic-am-4610-eye-massager,AmaMedic AM-4610 Eye Massager,"<ul>
  <li>
   Four Massage Modes
  </li>
  <li>
   Intelligent Air Pressure and Vibration
  </li>
  <li>
   10/15/20 Minute Timer
  </li>
  <li>
   Heat Therapy
  </li>
  <li>
   Built-in Bluetooth
  </li>
  <li>
   USB Type-C Charger
  </li>
  <li>
   180 Degree Portable Design
  </li>
  <li>
   Adjustable Headband
  </li>
 </ul>

<!-- more -->
<script>
  const externalURL =
    ""https://ota-shawn.github.io/Products/Amamedic/AM-4610%20Eye%20Massager.html"";
</script>
<link rel=""stylesheet"" href=""https://ota-shawn.github.io/productGlobalCss/style.css"">
<div id=""externalURL""></div>
<script src=""https://code.jquery.com/jquery-3.7.0.min.js"" integrity=""sha256-2Pmvv0kuTBOenSvLm6bvfBSSHrUJ+3A7x6P5Ebd07/g="" crossorigin=""anonymous""></script>
<script>
  $(""#externalURL"").load(externalURL, () => {
    $(""#externalURL"").contents().unwrap();
  });
</script>",AmaMedic,Health & Beauty > Personal Care > Massage & Relaxation > Massagers,Portable Massager,Amamedic,true,Title,Default Title,,,,,,,,amamedic-am-4610-eye-massager-0,,,,,99.99,129.00,true,true,,,,,00812512039689,,,,false,,,,,,,,,,,,,,,,,,,,,amamedic-am-4610-eye-massager,,,,,,,,,false,1,,,,,,,lb,,,active
amamedic-am-4613-eye-massager,AmaMedic AM-4613 Eye Massager,"<ul>
  <li>
   Four Massage Modes
  </li>
  <li>
   Intelligent Air Pressure and Vibration
  </li>
  <li>
   10/15/20 Minute Timer
  </li>
  <li>
   Heat Therapy
  </li>
  <li>
   Built-in Bluetooth
  </li>
  <li>
   USB Type-C Charger
  </li>
  <li>
   180 Degree Portable Design
  </li>
  <li>
   Adjustable Headband
  </li>
 </ul>

<!-- more -->
<script>
  const externalURL =
    ""https://ota-shawn.github.io/Products/Amamedic/AM-4613%20Eye%20Massager.html"";
</script>
<link rel=""stylesheet"" href=""https://ota-shawn.github.io/productGlobalCss/style.css"">
<div id=""externalURL""></div>
<script src=""https://code.jquery.com/jquery-3.7.0.min.js"" integrity=""sha256-2Pmvv0kuTBOenSvLm6bvfBSSHrUJ+3A7x6P5Ebd07/g="" crossorigin=""anonymous""></script>
<script>
  $(""#externalURL"").load(externalURL, () => {
    $(""#externalURL"").contents().unwrap();
  });
</script>",AmaMedic,Health & Beauty > Personal Care > Massage & Relaxation > Massagers,Portable Massager,Amamedic,true,Title,Default Title,,,,,,,,amamedic-am-4613-eye-massager-0,,,,,129.00,129.00,true,true,,,,,00812512039696,,,,false,,,,,,,,,,,,,,,,,,,,,amamedic-am-4613-eye-massager,,,,,,,,,false,2,,,,,,,lb,,,active
osaki-led-therapy-dome-lt,Osaki LED Therapy Dome LE,"<ul class=""feature-section""> <li>
   <strong>
    308-780nm Wavelength
   </strong>
  </li>
  <li>
   <strong>
    Hydrating Mist
   </strong>
  </li>
  <li>
   <strong>
    Auto-color Cycle Modes
   </strong>
  </li>
  <li>
   Rechargeable Long-life Battery
  </li>
  <li>
   Up to 60 min Timer
  </li>
 </ul>
<!-- more -->
<script>
  const externalURL =
    ""https://ota-shawn.github.io/Products/Osaki/Osaki%20LED%20Therapy%20Dome%20LT.html"";
</script>
<link rel=""stylesheet"" href=""https://ota-shawn.github.io/productGlobalCss/style.css"">
<div id=""externalURL""></div>
<script src=""https://code.jquery.com/jquery-3.7.0.min.js"" integrity=""sha256-2Pmvv0kuTBOenSvLm6bvfBSSHrUJ+3A7x6P5Ebd07/g="" crossorigin=""anonymous""></script>
<script>
  $(""#externalURL"").load(externalURL, () => {
    $(""#externalURL"").contents().unwrap();
  });
</script>",Osaki,Health & Beauty > Personal Care > Cosmetics > Cosmetic Tools > Skin Care Tools,Health Product,Osaki,true,Title,Default Title,,,,,,,,osaki-led-therapy-dome-lt-0,,,,,699.00,799.00,true,true,,,,,00812512036350,,,,false,,,,,,,,,,,,,,,,,,,,,osaki-led-therapy-dome-lt,,,,,,,,,false,1,,,,,,,lb,,,active
amamedic-am-61-shiatsu-massage-cushion,AmaMedic AM-61 Shiatsu Massage Cushion,"<ul>
  <li>
   Deep Tissue Shiatsu
  </li>
  <li>
   Use Anywhere
  </li>
  <li>
   Heat Therapy
  </li>
  <li>
   Four Massage Heads
  </li>
  <li>
   15 Minute Timer
  </li>
  <li>
   Easy Use
  </li>
 </ul>
<!-- more -->
<script>
  const externalURL =
    ""https://ota-shawn.github.io/Products/Amamedic/AM-61%20Shiatsu%20Massage%20Cushion.html"";
</script>
<link rel=""stylesheet"" href=""https://ota-shawn.github.io/productGlobalCss/style.css"">
<div id=""externalURL""></div>
<script src=""https://code.jquery.com/jquery-3.7.0.min.js"" integrity=""sha256-2Pmvv0kuTBOenSvLm6bvfBSSHrUJ+3A7x6P5Ebd07/g="" crossorigin=""anonymous""></script>
<script>
  $(""#externalURL"").load(externalURL, () => {
    $(""#externalURL"").contents().unwrap();
  });
</script>",AmaMedic,Health & Beauty > Personal Care > Massage & Relaxation > Massagers,Portable Massager,"AmaMedic, Criteo Non Recommendable",true,Title,Default Title,,,,,,,,amamedic-am-61-shiatsu-massage-cushion-0,,,,,99.00,99.00,true,true,,,,,00812512039733,,,,false,,,,,,,,,,,,,,,,,,,,,amamedic-am-61-shiatsu-massage-cushion,,,,,,,,,false,,,,,,,,lb,,,active
amamedic-am-4602-kneading-eye-massager,AmaMedic AM-4602 Kneading Eye Massager,"<ul>
  <li>
   Four Massage Modes
  </li>
  <li>
   Heat Therapy
  </li>
  <li>
   10 Minute Timer
  </li>
  <li>
   Bluetooth Connectivity
  </li>
 </ul>
<!-- more -->
<script>
  const externalURL =
    ""https://ota-shawn.github.io/Products/Amamedic/AM-4602%20Kneading%20Eye%20Massager.html"";
</script>
<link rel=""stylesheet"" href=""https://ota-shawn.github.io/productGlobalCss/style.css"">
<div id=""externalURL""></div>
<script src=""https://code.jquery.com/jquery-3.7.0.min.js"" integrity=""sha256-2Pmvv0kuTBOenSvLm6bvfBSSHrUJ+3A7x6P5Ebd07/g="" crossorigin=""anonymous""></script>
<script>
  $(""#externalURL"").load(externalURL, () => {
    $(""#externalURL"").contents().unwrap();
  });
</script>",AmaMedic,Health & Beauty > Personal Care > Massage & Relaxation > Massagers,Portable Massager,"AmaMedic, Criteo Non Recommendable",true,Title,Default Title,,,,,,,,amamedic-am-4602-kneading-eye-massager-0,,,,,129.00,129.00,true,true,,,,,00812512039702,,,,false,,,,,,,,,,,,,,,,,,,,,amamedic-am-4602-kneading-eye-massager,,,,,,,,,false,2,,,,,,,lb,,,active
osaki-lk-219b-spa-capsule,Osaki LK-219B Spa Capsule,"<ul class=""feature-section""> <li>
   Intuitive Controls
  </li>
  <li>
   Spacious Design
  </li>
  <li>
   Adjustable Seat
  </li>
  <li>
   Steam Sauna
  </li>
  <li>
   Dual Speakers
  </li>
  <li>
   Removable Steam Generator
  </li>
 </ul>
<!-- more -->
<script>
  const externalURL =
    ""https://ota-shawn.github.io/Products/Osaki/Osaki%20LK-219B%20Spa%20Capsule.html"";
</script>
<link rel=""stylesheet"" href=""https://ota-shawn.github.io/productGlobalCss/style.css"">
<div id=""externalURL""></div>
<script src=""https://code.jquery.com/jquery-3.7.0.min.js"" integrity=""sha256-2Pmvv0kuTBOenSvLm6bvfBSSHrUJ+3A7x6P5Ebd07/g="" crossorigin=""anonymous""></script>
<script>
  $(""#externalURL"").load(externalURL, () => {
    $(""#externalURL"").contents().unwrap();
  });
</script>",Osaki,Uncategorized,Health Product,Osaki,true,Title,Default Title,,,,,,,,osaki-lk-219b-spa-capsule-0,,,,,3099.00,3599.00,true,true,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,lk219-b-spa-capsule,,,,,,,,,false,,,,,,,,lb,,,active
osaki-lk219-spa-capsule,Osaki LK219 Spa Capsule,"<ul class=""feature-section""> <li>
   Interior Showerhead
  </li>
  <li>
   Intuitive Controls
  </li>
  <li>
   Spacious Design
  </li>
  <li>
   Adjustable Seat
  </li>
  <li>
   Steam Sauna
  </li>
  <li>
   Dual Speakers
  </li>
  <li>
   Removable Steam Generator
  </li>
 </ul>
<!-- more -->
<script>
  const externalURL =
    ""https://ota-shawn.github.io/Products/Osaki/Osaki%20LK219%20Spa%20Capsule.html"";
</script>
<link rel=""stylesheet"" href=""https://ota-shawn.github.io/productGlobalCss/style.css"">
<div id=""externalURL""></div>
<script src=""https://code.jquery.com/jquery-3.7.0.min.js"" integrity=""sha256-2Pmvv0kuTBOenSvLm6bvfBSSHrUJ+3A7x6P5Ebd07/g="" crossorigin=""anonymous""></script>
<script>
  $(""#externalURL"").load(externalURL, () => {
    $(""#externalURL"").contents().unwrap();
  });
</script>",Osaki,Home & Garden > Pool & Spa > Saunas,Health Product,Osaki,false,Title,Default Title,,,,,,,,osaki-lk219-spa-capsule-0,,,,,3499.00,3999.00,true,true,,,,,00810081881623,,,,false,,,,,,,,,,,,,,,,,,,,,osaki-lk219-spa-capsule,,,,,,,,,,,,,,,,,lb,,,draft
amamedic-am-8503-gua-sha-scraping-massager,AmaMedic AM-8503 Gua Sha Scraping Massager,"<!-- more -->
<p><script>
  const externalURL =
    ""https://ota-shawn.github.io/Products/Amamedic/AM-8503%20Gua%20Sha%20Scraping%20Massager.html"";
</script> <link href=""https://ota-shawn.github.io/productGlobalCss/style.css"" rel=""stylesheet""></p>
<div id=""externalURL""></div>
<p> AmaMedic AM-8503 Gua Sha Scraping massager</p>",AmaMedic,Health & Beauty > Personal Care > Massage & Relaxation > Massagers > Manual Massage Tools,Portable Massager,AmaMedic,true,Title,Default Title,,,,,,,,amamedic-am-8503-gua-sha-scraping-massager-0,,,,,49.99,,true,true,,,,,00812512039627,,,,false,,,,,,,,,,,,,,,,,,,,,amamedic-am-8503-gua-sha-scraping-massager,,,,,,,,,false,2,,,,,,,lb,,,active
amamedic-am2108-neck-massage-pillow,AmaMedic AM2108 Neck Massage Pillow,"<ul>
<li>Use Anywhere</li>
<li>Easily Adjustable</li>
<li>Micro USB Charging</li>
<li>Relaxing Heat Therapy</li>
<li>Intelligent Massage</li>
<li>Automatic Timer</li>
</ul>
<!-- more -->
<p><script>
  const externalURL =
    ""https://ota-shawn.github.io/Products/Amamedic/AM2108%20Neck%20Massage%20Pillow.html"";
</script> <link href=""https://ota-shawn.github.io/productGlobalCss/style.css"" rel=""stylesheet""></p>
<div id=""externalURL""></div>
<p><script crossorigin=""anonymous"" integrity=""sha256-2Pmvv0kuTBOenSvLm6bvfBSSHrUJ+3A7x6P5Ebd07/g="" src=""https://code.jquery.com/jquery-3.7.0.min.js""></script> <script>
  $(""#externalURL"").load(externalURL, () => {
    $(""#externalURL"").contents().unwrap();
  });
</script></p>",AmaMedic,Health & Beauty,Portable Massager,AmaMedic,true,Title,Default Title,,,,,,,,amamedic-am2108-neck-massage-pillow-0,,,,,79.00,,true,true,,,,,00812512039672,,,,false,,,,,,,,,,,,,,,,,,,,,amamedic-am2108-neck-massage-pillow,,,,,,,,,false,,,,,,,,lb,,,active
titan-pro-vigor-4d,Titan Pro-Vigor 4D,"<ul>
<li><strong> 4D Massage Mechanism </strong></li>
<li>Computerized Body Scanning</li>
<li>SL-Track</li>
<li><strong> Heated Back Roller </strong></li>
<li>2 Stage Zero Gravity</li>
<li>Space Saving Technology</li>
<li>24 Air Cell Full Body Compression</li>
<li><strong> Deep Calf Kneading </strong></li>
<li><strong> Kneading Foot Massage </strong></li>
<li>Automatic Extendable Footrest</li>
<li><strong> Touchscreen Control </strong></li>
<li>Surround Sound Bluetooth Speakers</li>
<li>Wireless Phone Charger</li>
<li>Convenient Shortcut Panel</li>
</ul>
<!-- more --> <script>
  const externalURL =
    ""https://ota-shawn.github.io/Products/Titan/Titan%20Pro-Vigor%204D.html"";
</script> <link href=""https://ota-shawn.github.io/productGlobalCss/style.css"" rel=""stylesheet"">
<div id=""externalURL""></div>
<script crossorigin=""anonymous"" integrity=""sha256-2Pmvv0kuTBOenSvLm6bvfBSSHrUJ+3A7x6P5Ebd07/g="" src=""https://code.jquery.com/jquery-3.7.0.min.js""></script> <script>
  $(""#externalURL"").load(externalURL, () => {
    $(""#externalURL"").contents().unwrap();
  });
</script>",Titan,Health & Beauty > Personal Care > Massage & Relaxation > Massage Chairs,Massage Chair,"4D, Big & Tall, L-TRACK, Massage Chair, Titan",true,Color,Black,,Delivery,Curbside Delivery - Free,,Warranty,5 Year (3 Years Full Service & Additional 2 Years Parts),,titan-pro-vigor-4d-0,,,,,3299.00,9999.00,true,true,,,,,00810081882033,,,,false,,,,,,,,,,,,,,24,Auto,8,YES,-,1 spinning reflexology massage roller,-,vigor,4D,4,YES,YES,SL,2 Stages of Zero Gravity,,,false,3,,,,,,,lb,,,active
titan-pro-vigor-4d,,,,,,,,Color,Black,,Delivery,White Glove (Installation) - $275,,Warranty,5 Year (3 Years Full Service & Additional 2 Years Parts),,titan-pro-vigor-4d-1,,,,,3574.00,10274.00,true,true,,,,,00810081882033,,,,,,,,,,,,,,,,,,24,Auto,8,YES,-,1 spinning reflexology massage roller,-,vigor,4D,4,YES,YES,SL,2 Stages of Zero Gravity,,,false,3,,,,,,,lb,,,
titan-pro-vigor-4d,,,,,,,,Color,Brown,,Delivery,Curbside Delivery - Free,,Warranty,5 Year (3 Years Full Service & Additional 2 Years Parts),,titan-pro-vigor-4d-2,,,,,3299.00,9999.00,true,true,,,,,00810081882057,,,,,,,,,,,,,,,,,,24,Auto,8,YES,-,1 spinning reflexology massage roller,-,vigor,4D,4,YES,YES,SL,2 Stages of Zero Gravity,,,false,3,,,,,,,lb,,,
titan-pro-vigor-4d,,,,,,,,Color,Brown,,Delivery,White Glove (Installation) - $275,,Warranty,5 Year (3 Years Full Service & Additional 2 Years Parts),,titan-pro-vigor-4d-3,,,,,3574.00,10274.00,true,true,,,,,00810081882057,,,,,,,,,,,,,,,,,,24,Auto,8,YES,-,1 spinning reflexology massage roller,-,vigor,4D,4,YES,YES,SL,2 Stages of Zero Gravity,,,false,3,,,,,,,lb,,,
titan-pro-vigor-4d,,,,,,,,Color,Taupe,,Delivery,Curbside Delivery - Free,,Warranty,5 Year (3 Years Full Service & Additional 2 Years Parts),,titan-pro-vigor-4d-4,,,,,3299.00,9999.00,true,true,,,,,00810081882040,,,,,,,,,,,,,,,,,,24,Auto,8,YES,-,1 spinning reflexology massage roller,-,vigor,4D,4,YES,YES,SL,2 Stages of Zero Gravity,,,false,3,,,,,,,lb,,,
titan-pro-vigor-4d,,,,,,,,Color,Taupe,,Delivery,White Glove (Installation) - $275,,Warranty,5 Year (3 Years Full Service & Additional 2 Years Parts),,titan-pro-vigor-4d-5,,,,,3574.00,10274.00,true,true,,,,,00810081882040,,,,,,,,,,,,,,,,,,24,Auto,8,YES,-,1 spinning reflexology massage roller,-,vigor,4D,4,YES,YES,SL,2 Stages of Zero Gravity,,,false,3,,,,,,,lb,,,
osaki-massage-chair-cleaner,Osaki Cleaning Kit,"<ul class=""feature-section""> <li>
   Citrus Orange oil
  </li>
  <li>
   Special decontamination
  </li>
  <li>
   Sterilization factor
  </li>
  <li>
   Anionic surfactant
  </li>
  <li>
   Leather protection protein
  </li>
 </ul>
<!-- more -->
<script>
  const externalURL =
    ""https://ota-shawn.github.io/Products/Osaki/Osaki%20Massage%20Chair%20Cleaner.html"";
</script>
<link rel=""stylesheet"" href=""https://ota-shawn.github.io/productGlobalCss/style.css"">
<div id=""externalURL""></div>
<script src=""https://code.jquery.com/jquery-3.7.0.min.js"" integrity=""sha256-2Pmvv0kuTBOenSvLm6bvfBSSHrUJ+3A7x6P5Ebd07/g="" crossorigin=""anonymous""></script>
<script>
  $(""#externalURL"").load(externalURL, () => {
    $(""#externalURL"").contents().unwrap();
  });
</script>",Osaki,Health & Beauty > Personal Care > Massage & Relaxation > Massagers > Massager Accessories,Accessory,Osaki,true,Title,Default Title,,,,,,,,osaki-massage-chair-cleaner-0,,,,,29.99,,true,true,,,,,00810081881609,,,,false,,,,,,,,,,,,,,,,,,,,,massage-chair-cleaner,,,,,,,,,false,1,,,,,,,lb,,,active
osaki-os-3d-hamilton-le,Osaki OS-3D Hamilton LE,"<ul class=""feature-section""> <li>
   <strong>
    Intelligent Voice Control
   </strong>
  </li>
  <li>
   <strong>
    3D Massage Mechanism
   </strong>
  </li>
  <li>
   <strong>
    SL-Track
   </strong>
  </li>
  <li>
   Zero Gravity Reclining
  </li>
  <li>
   Space Saving Technology
  </li>
  <li>
   <strong>
    32 Air Cell Full Body Compression
   </strong>
  </li>
  <li>
   Lumbar Heat Therapy
  </li>
  <li>
   <strong>
    Deep Calf Kneading
   </strong>
  </li>
  <li>
   21 Auto Programs &amp; 6 Massage Styles
  </li>
  <li>
   Extendable Footrest
  </li>
  <li>
   Wireless Phone Charger
  </li>
  <li>
   Surround Sound Bluetooth Speakers
  </li>
 </ul>
<!-- more -->
<script>
  const externalURL =
    ""https://ota-shawn.github.io/Products/Osaki/Osaki%20OS-3D%20Hamilton%20LE.html"";
</script>
<link rel=""stylesheet"" href=""https://ota-shawn.github.io/productGlobalCss/style.css"">
<div id=""externalURL""></div>
<script src=""https://code.jquery.com/jquery-3.7.0.min.js"" integrity=""sha256-2Pmvv0kuTBOenSvLm6bvfBSSHrUJ+3A7x6P5Ebd07/g="" crossorigin=""anonymous""></script>
<script>
  $(""#externalURL"").load(externalURL, () => {
    $(""#externalURL"").contents().unwrap();
  });
</script>",Osaki,Health & Beauty > Personal Care > Massage & Relaxation > Massage Chairs,Massage Chair,"3D, Big & Tall, L-TRACK, Massage Chair, Osaki",true,Color,Black,,Delivery,Curbside Delivery - Free,,Warranty,1 Year (Part/Labor) 2&3 Year (Parts Only) - Free,,osaki-os-3d-hamilton-le-0,,,,,2499.00,5499.00,true,true,,,,,00810081882095,,,,false,,,,,,,,,,,,,,32,Auto,21,-,-,4 spinning reflexology massage rollers,Lumbar,hamilton-le,3D,6,YES,YES,SL,3 Stages of Zero Gravity,,,false,1,,,,,,,lb,,,active
osaki-os-3d-hamilton-le,,,,,,,,Color,Black,,Delivery,Curbside Delivery - Free,,Warranty,1 Year Extended (Parts/Labor) - $249.95,,osaki-os-3d-hamilton-le-1,,,,,2748.95,5748.95,true,true,,,,,00810081882095,,,,,,,,,,,,,,,,,,32,Auto,21,-,-,4 spinning reflexology massage rollers,Lumbar,hamilton-le,3D,6,YES,YES,SL,3 Stages of Zero Gravity,,,false,1,,,,,,,lb,,,
osaki-os-3d-hamilton-le,,,,,,,,Color,Black,,Delivery,Curbside Delivery - Free,,Warranty,2 Year Extended (Parts/Labor) - $349.95,,osaki-os-3d-hamilton-le-2,,,,,2848.95,5848.95,true,true,,,,,00810081882095,,,,,,,,,,,,,,,,,,32,Auto,21,-,-,4 spinning reflexology massage rollers,Lumbar,hamilton-le,3D,6,YES,YES,SL,3 Stages of Zero Gravity,,,false,1,,,,,,,lb,,,
osaki-os-3d-hamilton-le,,,,,,,,Color,Black,,Delivery,White Glove Delivery - $275,,Warranty,1 Year (Part/Labor) 2&3 Year (Parts Only) - Free,,osaki-os-3d-hamilton-le-3,,,,,2774.00,5774.00,true,true,,,,,00810081882095,,,,,,,,,,,,,,,,,,32,Auto,21,-,-,4 spinning reflexology massage rollers,Lumbar,hamilton-le,3D,6,YES,YES,SL,3 Stages of Zero Gravity,,,false,1,,,,,,,lb,,,
osaki-os-3d-hamilton-le,,,,,,,,Color,Black,,Delivery,White Glove Delivery - $275,,Warranty,1 Year Extended (Parts/Labor) - $249.95,,osaki-os-3d-hamilton-le-4,,,,,3023.95,6023.95,true,true,,,,,00810081882095,,,,,,,,,,,,,,,,,,32,Auto,21,-,-,4 spinning reflexology massage rollers,Lumbar,hamilton-le,3D,6,YES,YES,SL,3 Stages of Zero Gravity,,,false,1,,,,,,,lb,,,
osaki-os-3d-hamilton-le,,,,,,,,Color,Black,,Delivery,White Glove Delivery - $275,,Warranty,2 Year Extended (Parts/Labor) - $349.95,,osaki-os-3d-hamilton-le-5,,,,,3123.95,6123.95,true,true,,,,,00810081882095,,,,,,,,,,,,,,,,,,32,Auto,21,-,-,4 spinning reflexology massage rollers,Lumbar,hamilton-le,3D,6,YES,YES,SL,3 Stages of Zero Gravity,,,false,1,,,,,,,lb,,,
osaki-os-3d-hamilton-le,,,,,,,,Color,Brown,,Delivery,Curbside Delivery - Free,,Warranty,1 Year (Part/Labor) 2&3 Year (Parts Only) - Free,,osaki-os-3d-hamilton-le-6,,,,,2499.00,5499.00,true,true,,,,,00810081882118,,,,,,,,,,,,,,,,,,32,Auto,21,-,-,4 spinning reflexology massage rollers,Lumbar,hamilton-le,3D,6,YES,YES,SL,3 Stages of Zero Gravity,,,false,1,,,,,,,lb,,,
osaki-os-3d-hamilton-le,,,,,,,,Color,Brown,,Delivery,Curbside Delivery - Free,,Warranty,1 Year Extended (Parts/Labor) - $249.95,,osaki-os-3d-hamilton-le-7,,,,,2748.95,5748.95,true,true,,,,,00810081882118,,,,,,,,,,,,,,,,,,32,Auto,21,-,-,4 spinning reflexology massage rollers,Lumbar,hamilton-le,3D,6,YES,YES,SL,3 Stages of Zero Gravity,,,false,1,,,,,,,lb,,,
osaki-os-3d-hamilton-le,,,,,,,,Color,Brown,,Delivery,Curbside Delivery - Free,,Warranty,2 Year Extended (Parts/Labor) - $349.95,,osaki-os-3d-hamilton-le-8,,,,,2848.95,5848.95,true,true,,,,,00810081882118,,,,,,,,,,,,,,,,,,32,Auto,21,-,-,4 spinning reflexology massage rollers,Lumbar,hamilton-le,3D,6,YES,YES,SL,3 Stages of Zero Gravity,,,false,1,,,,,,,lb,,,
osaki-os-3d-hamilton-le,,,,,,,,Color,Brown,,Delivery,White Glove Delivery - $275,,Warranty,1 Year (Part/Labor) 2&3 Year (Parts Only) - Free,,osaki-os-3d-hamilton-le-9,,,,,2774.00,5774.00,true,true,,,,,00810081882118,,,,,,,,,,,,,,,,,,32,Auto,21,-,-,4 spinning reflexology massage rollers,Lumbar,hamilton-le,3D,6,YES,YES,SL,3 Stages of Zero Gravity,,,false,1,,,,,,,lb,,,
osaki-os-3d-hamilton-le,,,,,,,,Color,Brown,,Delivery,White Glove Delivery - $275,,Warranty,1 Year Extended (Parts/Labor) - $249.95,,osaki-os-3d-hamilton-le-10,,,,,3023.95,6023.95,true,true,,,,,00810081882118,,,,,,,,,,,,,,,,,,32,Auto,21,-,-,4 spinning reflexology massage rollers,Lumbar,hamilton-le,3D,6,YES,YES,SL,3 Stages of Zero Gravity,,,false,1,,,,,,,lb,,,
